n_samples,trial,arch,mode,region,sigma_mmsyr,rel_err,rel_los,rel_trv,rel_R,rel_z,rel_phi,train_chi,train_err_true_mmsyr,learned_m,learned_rs
50,0,III,LOS,sun4,1.46,0.3036210834980011,0.1419626772403717,0.24601541459560394,0.1605207473039627,0.16556799411773682,0.12837505340576172,0.381,0.890,,
50,0,III,LOS+rho,sun4,1.46,0.27945441007614136,0.12594151496887207,0.22890467941761017,0.1648586094379425,0.153265118598938,0.10153502225875854,0.481,0.840,,
50,1,III,LOS,sun4,1.90,0.3470866084098816,0.16785447299480438,0.272743821144104,0.15906833112239838,0.22485534846782684,0.12521478533744812,0.468,0.712,,
50,1,III,LOS+rho,sun4,1.90,0.3440094292163849,0.128379687666893,0.29733818769454956,0.11462914943695068,0.26012447476387024,0.11475390940904617,0.539,0.677,,
50,2,III,LOS,sun4,1.76,0.3103477954864502,0.141499862074852,0.24523644149303436,0.12890593707561493,0.23271632194519043,0.08714054524898529,0.489,0.839,,
50,2,III,LOS+rho,sun4,1.76,0.2990856170654297,0.11764299124479294,0.252196729183197,0.12705467641353607,0.21829001605510712,0.08625314384698868,0.575,0.696,,
100,0,III,LOS,sun4,1.82,0.19913801550865173,0.07613551616668701,0.17251330614089966,0.06586626917123795,0.14859940111637115,0.06337353587150574,0.670,0.525,,
100,0,III,LOS+rho,sun4,1.82,0.1987561136484146,0.07336507737636566,0.17351263761520386,0.07276953756809235,0.14050151407718658,0.07356975972652435,0.647,0.509,,
100,1,III,LOS,sun4,2.17,0.15638045966625214,0.06819948554039001,0.12974420189857483,0.055302564054727554,0.10324817895889282,0.06979244947433472,0.577,0.478,,
100,1,III,LOS+rho,sun4,2.17,0.15306228399276733,0.06656260043382645,0.12629446387290955,0.055137697607278824,0.0989522784948349,0.07247557491064072,0.570,0.445,,
100,2,III,LOS,sun4,1.51,0.21462062001228333,0.09671740978956223,0.17408019304275513,0.07140807807445526,0.1635330319404602,0.07959511876106262,0.583,0.446,,
100,2,III,LOS+rho,sun4,1.51,0.22123438119888306,0.10081977397203445,0.17709073424339294,0.0717024877667427,0.1640263944864273,0.08468199521303177,0.574,0.487,,
200,0,III,LOS,sun4,1.64,0.1561257541179657,0.05283267796039581,0.13667473196983337,0.05475320294499397,0.1179899349808693,0.03355390578508377,0.695,0.336,,
200,0,III,LOS+rho,sun4,1.64,0.16000081598758698,0.0496639646589756,0.14318257570266724,0.04809506982564926,0.1274951696395874,0.03446647897362709,0.700,0.328,,
200,1,III,LOS,sun4,1.46,0.12988042831420898,0.05141149088740349,0.11123207211494446,0.03306376561522484,0.10858133435249329,0.03671327978372574,0.661,0.330,,
200,1,III,LOS+rho,sun4,1.46,0.11635835468769073,0.047099895775318146,0.09853363782167435,0.02841067686676979,0.09508825838565826,0.038337551057338715,0.662,0.326,,
200,2,III,LOS,sun4,1.69,0.22600698471069336,0.07319856435060501,0.19715720415115356,0.049148134887218475,0.19889520108699799,0.04729132354259491,0.692,0.465,,
200,2,III,LOS+rho,sun4,1.69,0.20816761255264282,0.06456226855516434,0.1844259649515152,0.04398925229907036,0.18578624725341797,0.04230789095163345,0.690,0.439,,
500,0,III,LOS,sun4,1.69,0.08909130096435547,0.03480098024010658,0.07531827688217163,0.029783125966787338,0.07099410146474838,0.02460384927690029,0.827,0.250,,
500,0,III,LOS+rho,sun4,1.69,0.0813884511590004,0.026483863592147827,0.07178124040365219,0.02153249830007553,0.06827257573604584,0.020750051364302635,0.839,0.194,,
500,1,III,LOS,sun4,1.68,0.11466902494430542,0.031884945929050446,0.10454848408699036,0.026500746607780457,0.09589917957782745,0.0313718244433403,0.781,0.224,,
500,1,III,LOS+rho,sun4,1.68,0.11575409770011902,0.028829259797930717,0.10652010142803192,0.022939536720514297,0.10246462374925613,0.019258668646216393,0.804,0.209,,
500,2,III,LOS,sun4,1.88,0.08650663495063782,0.03368952125310898,0.07309578359127045,0.023831890895962715,0.06413478404283524,0.033158812671899796,0.706,0.223,,
500,2,III,LOS+rho,sun4,1.88,0.088773213326931,0.03048294223845005,0.07834406197071075,0.021803341805934906,0.06967820227146149,0.0339389406144619,0.713,0.220,,
50,0,IV,LOS,sun4,1.46,0.3359740078449249,0.15205904841423035,0.2760756313800812,0.16923308372497559,0.17153498530387878,0.16027507185935974,0.343,0.962,,
50,0,IV,LOS+rho,sun4,1.46,0.3265673518180847,0.15028277039527893,0.2660921514034271,0.1635388433933258,0.17661485075950623,0.1479623019695282,0.344,0.933,,
50,1,IV,LOS,sun4,1.90,0.7980343699455261,0.47290095686912537,0.5617697834968567,0.3818376064300537,0.5653859972953796,0.26330527663230896,0.348,1.013,,
50,1,IV,LOS+rho,sun4,1.90,0.30026015639305115,0.10769978165626526,0.2623491585254669,0.09694506227970123,0.2388981282711029,0.08691847324371338,0.519,0.519,,
50,2,IV,LOS,sun4,1.76,0.36849939823150635,0.15514196455478668,0.301686555147171,0.15123417973518372,0.2891146242618561,0.08408310264348984,0.472,0.909,,
50,2,IV,LOS+rho,sun4,1.76,0.4483638405799866,0.19553877413272858,0.36623615026474,0.20339341461658478,0.3308412432670593,0.12684310972690582,0.421,0.983,,
100,0,IV,LOS,sun4,1.82,0.2079066038131714,0.07936522364616394,0.17957541346549988,0.06984671950340271,0.1495596468448639,0.07477456331253052,0.635,0.547,,
100,0,IV,LOS+rho,sun4,1.82,0.21409475803375244,0.08150246739387512,0.18468177318572998,0.06536553055047989,0.15219572186470032,0.08508018404245377,0.643,0.575,,
100,1,IV,LOS,sun4,2.17,0.18013030290603638,0.072458915412426,0.15365400910377502,0.046210434287786484,0.12349821627140045,0.08998188376426697,0.519,0.541,,
100,1,IV,LOS+rho,sun4,2.17,0.16899004578590393,0.06849594414234161,0.14433807134628296,0.047330863773822784,0.11210093647241592,0.0860423594713211,0.550,0.505,,
100,2,IV,LOS,sun4,1.51,0.2817213833332062,0.12119287997484207,0.2327316403388977,0.12721070647239685,0.19221864640712738,0.09923461824655533,0.494,0.575,,
100,2,IV,LOS+rho,sun4,1.51,0.2529965937137604,0.11051025241613388,0.20832912623882294,0.10648506879806519,0.17442798614501953,0.09867468476295471,0.530,0.574,,
200,0,IV,LOS,sun4,1.64,0.14609521627426147,0.04683351516723633,0.12982313334941864,0.04737553000450134,0.11385442316532135,0.03685340657830238,0.696,0.284,,
200,0,IV,LOS+rho,sun4,1.64,0.14087815582752228,0.048818666487932205,0.12304678559303284,0.05127404257655144,0.10637763887643814,0.032227132469415665,0.713,0.304,,
200,1,IV,LOS,sun4,1.46,0.12554475665092468,0.0515684150159359,0.10526186972856522,0.038447052240371704,0.10198409110307693,0.03619991987943649,0.650,0.347,,
200,1,IV,LOS+rho,sun4,1.46,0.12843582034111023,0.04914174973964691,0.11114571988582611,0.032160013914108276,0.10591031610965729,0.038912687450647354,0.658,0.316,,
200,2,IV,LOS,sun4,1.69,0.2285170704126358,0.08358542621135712,0.19353412091732025,0.052820589393377304,0.19418077170848846,0.06306217610836029,0.646,0.528,,
200,2,IV,LOS+rho,sun4,1.69,0.21222202479839325,0.07856501638889313,0.18005843460559845,0.0557917095720768,0.17593805491924286,0.058801792562007904,0.657,0.536,,
500,0,IV,LOS,sun4,1.69,0.07973392307758331,0.03836976736783981,0.06351469457149506,0.03138723596930504,0.056053534150123596,0.02813706547021866,0.776,0.243,,
500,0,IV,LOS+rho,sun4,1.69,0.07720506191253662,0.03300909325480461,0.06415333598852158,0.025375884026288986,0.058206960558891296,0.027291033416986465,0.785,0.226,,
500,1,IV,LOS,sun4,1.68,0.12594138085842133,0.037148430943489075,0.11415202915668488,0.03166969120502472,0.10461755841970444,0.03610307723283768,0.776,0.248,,
500,1,IV,LOS+rho,sun4,1.68,0.13755176961421967,0.03419323265552521,0.12680448591709137,0.030961886048316956,0.121531181037426,0.027258682996034622,0.777,0.223,,
500,2,IV,LOS,sun4,1.88,0.09135301411151886,0.03627188876271248,0.07683365046977997,0.02614831179380417,0.07313298434019089,0.02985578402876854,0.725,0.267,,
500,2,IV,LOS+rho,sun4,1.88,0.0843270868062973,0.027378855273127556,0.0748903676867485,0.01971806399524212,0.0670161098241806,0.02939801663160324,0.705,0.200,,
50,0,V,LOS,sun4,1.46,0.3324684202671051,0.1508733034133911,0.2731390595436096,0.170521542429924,0.1730368435382843,0.15269583463668823,0.326,0.924,6.2827e+11,15.5816
50,0,V,LOS+rho,sun4,1.46,0.30292850732803345,0.14394904673099518,0.2428390085697174,0.14970462024211884,0.15851932764053345,0.1443462371826172,0.408,0.945,6.3380e+11,15.5804
50,1,V,LOS,sun4,1.90,0.740898609161377,0.43186771869659424,0.5255227088928223,0.3483518958091736,0.5210824608802795,0.255715936422348,0.410,0.996,5.9811e+11,15.5900
50,1,V,LOS+rho,sun4,1.90,0.3525047302246094,0.14522044360637665,0.29661062359809875,0.13975588977336884,0.2493862509727478,0.12158755958080292,0.491,0.655,6.0526e+11,15.5866
50,2,V,LOS,sun4,1.76,0.37108248472213745,0.15456193685531616,0.30464017391204834,0.14894765615463257,0.289073646068573,0.08761739730834961,0.420,0.913,5.9010e+11,15.5909
50,2,V,LOS+rho,sun4,1.76,0.4985966980457306,0.2229892909526825,0.4033452272415161,0.22515268623828888,0.3749766945838928,0.14084310829639435,0.404,1.130,6.0361e+11,15.5868
100,0,V,LOS,sun4,1.82,0.21575605869293213,0.07847411185503006,0.1887807697057724,0.07002747803926468,0.15503662824630737,0.08182162046432495,0.624,0.542,6.0363e+11,15.5872
100,0,V,LOS+rho,sun4,1.82,0.21258433163166046,0.08139915764331818,0.1831807941198349,0.0674717128276825,0.15048301219940186,0.083894744515419,0.625,0.580,6.0962e+11,15.5850
100,1,V,LOS,sun4,2.17,0.1786036640405655,0.07352782785892487,0.15165561437606812,0.05023755133152008,0.11861197650432587,0.09112825989723206,0.550,0.563,5.9282e+11,15.5875
100,1,V,LOS+rho,sun4,2.17,0.1833801567554474,0.07828516513109207,0.15419508516788483,0.047925159335136414,0.10878163576126099,0.1100168377161026,0.546,0.605,6.0122e+11,15.5855
100,2,V,LOS,sun4,1.51,0.30366048216819763,0.12808269262313843,0.25155410170555115,0.12766483426094055,0.21696573495864868,0.10489623993635178,0.517,0.586,5.9321e+11,15.5911
100,2,V,LOS+rho,sun4,1.51,0.2864193618297577,0.11988337337970734,0.23948708176612854,0.12900272011756897,0.19628235697746277,0.10459533333778381,0.517,0.630,6.1026e+11,15.5850
200,0,V,LOS,sun4,1.64,0.14900338649749756,0.05748278647661209,0.12545791268348694,0.059898898005485535,0.10551781952381134,0.03966826573014259,0.685,0.352,6.0202e+11,15.5891
200,0,V,LOS+rho,sun4,1.64,0.15026843547821045,0.05158320814371109,0.13239328563213348,0.056367576122283936,0.1131911352276802,0.03665696829557419,0.697,0.343,6.1208e+11,15.5864
200,1,V,LOS,sun4,1.46,0.12699346244335175,0.05128083750605583,0.10755464434623718,0.03264018893241882,0.1043257862329483,0.0379541777074337,0.632,0.343,5.8804e+11,15.5927
200,1,V,LOS+rho,sun4,1.46,0.12713323533535004,0.04963889345526695,0.10904692858457565,0.03047439083456993,0.1044483333826065,0.040328264236450195,0.641,0.326,5.9490e+11,15.5905
200,2,V,LOS,sun4,1.69,0.23978906869888306,0.0873943641781807,0.20409491658210754,0.05794927477836609,0.20151522755622864,0.06808564066886902,0.646,0.543,5.7947e+11,15.5985
200,2,V,LOS+rho,sun4,1.69,0.20581752061843872,0.08196161687374115,0.17143966257572174,0.058645524084568024,0.16688205301761627,0.05925554409623146,0.674,0.552,5.9994e+11,15.5910
500,0,V,LOS,sun4,1.69,0.08897819370031357,0.04080554097890854,0.07291805744171143,0.038779400289058685,0.0631754994392395,0.028804264962673187,0.790,0.267,5.8661e+11,15.5942
500,0,V,LOS+rho,sun4,1.69,0.06674881279468536,0.031807318329811096,0.05328059569001198,0.023336993530392647,0.04778388515114784,0.024468135088682175,0.779,0.214,5.9807e+11,15.5911
500,1,V,LOS,sun4,1.68,0.1330418586730957,0.03708028793334961,0.12138886749744415,0.027922041714191437,0.11152896285057068,0.03726945444941521,0.773,0.248,5.9098e+11,15.5910
500,1,V,LOS+rho,sun4,1.68,0.14467623829841614,0.03056332841515541,0.1354704201221466,0.023438388481736183,0.1315314918756485,0.02208522893488407,0.783,0.202,5.9729e+11,15.5892
500,2,V,LOS,sun4,1.88,0.0863911509513855,0.032683514058589935,0.0727916806936264,0.02014606073498726,0.0680861622095108,0.03072468377649784,0.705,0.229,6.0058e+11,15.5864
500,2,V,LOS+rho,sun4,1.88,0.08403433114290237,0.02756926417350769,0.07446170598268509,0.019002512097358704,0.06459350883960724,0.03194138780236244,0.706,0.191,6.0909e+11,15.5824
