name,psrj,GL,GB,channel,pbdot_ref,f1_ref,tag,survey
J0030+0451,J0030+0451,113.141,-57.611,PS,,abb+23,abb+23,"misc,FermiBlind,gbncc,lotaas"
J0125-2327,J0125-2327,188.932,-81.569,PS,,cpb+23,cpb+23,"htru_pks,gbncc"
J0218+4232,J0218+4232,139.508,-17.527,PB,,dcl+16,dcl+16,"misc,FermiBlind,gbncc"
J0340+4130,J0340+4130,153.783,-11.022,PS,,abb+18,abb+18,"FermiAssoc,gbt350,fast_gpps"
J0437-4715,J0437-4715,253.394,-41.963,PB,rbs+24,rbs+24,rbs+24,"pks70,FermiBlind,pkshl"
J0613-0200,J0613-0200,210.413,-9.305,PB,abb+23,abb+23,abb+23,"pks70,FermiBlind,gbncc"
J0645+5158,J0645+5158,163.963,20.251,PS,,aab+21a,aab+21a,"gbncc,lotaas"
J0737-3039A,J0737-3039A,245.236,-4.505,PB,ksm+06,ksm+06,ksm+06,"pkshl,gbncc,htru_pks"
J0740+6620,J0740+6620,149.73,29.599,PB,fcp+21,cfr+20,fcp+21,"gbncc,FermiBlind"
J0751+1807,J0751+1807,202.73,21.086,PB,abb+23,abb+23,abb+23,"misc,FermiBlind,ar327"
J0931-1902,J0931-1902,250.999,23.054,PS,,aab+21a,aab+21a,"gbt350,FermiBlind,gbncc"
J1012+5307,J1012+5307,160.347,50.858,PB,abb+23,abb+23,abb+23,"misc,gbncc,lotaas"
J1012-4235,J1012-4235,274.218,11.225,PS,,gfw+24,gfw+24,FermiAssoc
J1017-7156,J1017-7156,291.558,-12.553,PB,rsc+21,rsc+21,rsc+21,htru_pks
J1022+1001,J1022+1001,231.795,51.101,PB,abb+23,abb+23,abb+23,"ar4,gb4,lotaas,pkshl"
J1125-6014,J1125-6014,292.504,0.894,PB,rsc+21,rsc+21,rsc+21,"pksmb,FermiAssoc,htru_pks"
J1400-1431,J1400-1431,326.986,45.087,PS,,skm+17,skm+17,"gbt350,FermiBlind,gbncc"
J1455-3330,J1455-3330,330.722,22.562,PB,abb+23,aab+21a,abb+23,"pksmb,FermiAssoc"
J1518+4904,J1518+4904,80.808,54.282,PB,jsk+08,jsk+08,jsk+08,"gb4,gbncc,lotaas"
J1600-3053,J1600-3053,344.09,16.451,PB,abb+23,abb+23,abb+23,"pkssw,FermiBlind,gbncc"
J1603-7202,J1603-7202,316.63,-14.496,PB,rsc+21,rsc+21,rsc+21,"pks70,htru_pks,pkssw"
J1614-2230,J1614-2230,352.636,20.192,PB,aab+21a,aab+21a,aab+21a,"misc,FermiBlind,gbncc"
J1640+2224,J1640+2224,41.051,38.271,PB,abb+23,abb+18,abb+23,"ar4,FermiBlind,ar327"
J1713+0747,J1713+0747,28.751,25.223,PB,abb+23,rsc+21,abb+23,"ar4,FermiBlind,pkssw"
J1721-2457,J1721-2457,0.387,6.751,PS,,jsb+10,jsb+10,"pkssw,gbncc,htru_pks"
J1738+0333,J1738+0333,27.721,17.742,PB,fwe+12,fwe+12,fwe+12,"pkssw,ar327,fast_gpps"
J1741+1351,J1741+1351,37.885,21.641,PB,,abb+18,abb+18,"pkssw,FermiBlind,ar327,fast_gpps"
J1744-1134,J1744-1134,14.794,9.18,PS,,rsc+21,rsc+21,"pks70,FermiBlind,htru_pks,pkssw"
J1751-2857,J1751-2857,0.646,-1.124,PS,,abb+23,abb+23,"pksmb,htru_pks"
J1801-1417,J1801-1417,14.546,4.162,PS,,abb+23,abb+23,"pksmb,FermiAssoc"
J1832-0836,J1832-0836,23.109,0.257,PS,,aab+21a,aab+21a,htru_pks
J1853+1303,J1853+1303,44.875,5.367,PS,,aab+21a,aab+21a,"pksmb,fast_gpps"
J1909-3744,J1909-3744,359.731,-19.596,PB,rsc+21,rsc+21,rsc+21,"pkssw,gbncc"
J1910+1256,J1910+1256,46.564,1.795,PS,,aab+21a,aab+21a,"pksmb,palfa,fast_gpps"
J1911-1114,J1911-1114,25.137,-9.579,PS,,dcl+16,dcl+16,"pks70,gbncc"
B1913+16,J1915+1606,49.968,2.122,PB,wh16,wh16,wh16,"ar1,ar4,pksmb,fast_gpps"
J1923+2515,J1923+2515,58.946,4.749,PS,,aab+21a,aab+21a,"gbt350,ar327,gbncc"
J1933-6211,J1933-6211,334.431,-28.631,PB,gvf+23,gvf+23,gvf+23,pkssw
J1944+0907,J1944+0907,47.16,-7.357,PS,,aab+21a,aab+21a,"ar4,fast_gpps"
J1946+3417,J1946+3417,69.294,4.713,PS,,aab+21a,aab+21a,"htru_eff,FermiAssoc,fast_gpps"
J2010-1323,J2010-1323,29.446,-23.54,PS,,aab+21a,aab+21a,"pkssw,gbncc"
J2017+0603,J2017+0603,48.621,-16.026,PS,,abb+18,abb+18,"misc,FermiBlind,fast_gpps"
J2033+1734,J2033+1734,60.857,-13.154,PS,,aab+21a,aab+21a,"ar4,fast_gpps"
J2124-3358,J2124-3358,10.925,-45.438,PS,,rsc+21,rsc+21,"pks70,FermiBlind,gbncc"
J2129-5721,J2129-5721,338.005,-43.57,PB,rsc+21,rsc+21,rsc+21,pks70
J2145-0750,J2145-0750,47.777,-42.084,PB,rsc+21,rsc+21,rsc+21,"pks70,lotaas"
J2222-0137,J2222-0137,62.018,-46.075,PB,gfg+21,gfg+21,gfg+21,"gbt350,gbncc,lotaas"
J2229+2643,J2229+2643,87.693,-26.284,PS,,aab+21a,aab+21a,"ar4,ar327,gbncc,fast_gpps"
J2234+0611,J2234+0611,72.991,-43.006,PB,sfa+19,sfa+19,sfa+19,"ar327,fast_gpps"
J2302+4442,J2302+4442,103.395,-14.005,PS,,aab+21a,aab+21a,"misc,FermiBlind,gbncc"
J2317+1439,J2317+1439,91.361,-42.36,PS,,aab+21a,aab+21a,"ar4,FermiBlind,gbncc"
J2322-2650,J2322-2650,28.637,-70.228,PS,sbb+18,sbb+18,sbb+18,htru_pks
