n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi
50,0,3D,sun4,0.09079734981060028,0.0,0.0296478271484375,0.08010096848011017,0.017341120168566704,0.08639727532863617,0.006369101349264383
50,0,LOS,sun4,0.11147408932447433,0.0,0.029877707362174988,0.1031387522816658,0.018724221736192703,0.1011214554309845,0.024906404316425323
50,0,LOS+Sun,sun4,0.10035928338766098,0.0,0.027550026774406433,0.09195995330810547,0.0326969288289547,0.08781685680150986,0.00916680134832859
50,0,LOS+rho,sun4,0.12478724867105484,0.0,0.03981730341911316,0.11203793436288834,0.0498516671359539,0.10139822959899902,0.02436288818717003
50,0,LOS+Sun+rho,sun4,0.10129343718290329,0.0,0.02908913418650627,0.09219507873058319,0.024348221719264984,0.0939328595995903,0.010352008044719696
50,0,3D,sun15,0.3970169425010681,0.197265625,0.27411922812461853,0.24276931583881378,0.25493210554122925,0.18139784038066864,0.11841636896133423
50,0,LOS,sun15,0.43429479002952576,0.173828125,0.29164808988571167,0.265775591135025,0.22653508186340332,0.2061435431241989,0.1861441731452942
50,0,LOS+Sun,sun15,0.3576611280441284,0.16796875,0.24895556271076202,0.21544164419174194,0.23223312199115753,0.1550966054201126,0.12088949978351593
50,0,LOS+rho,sun15,0.43630796670913696,0.0625,0.3012389540672302,0.26238560676574707,0.30343160033226013,0.19139103591442108,0.113226018846035
50,0,LOS+Sun+rho,sun15,0.41484886407852173,0.060546875,0.30177178978919983,0.2366257905960083,0.3006797134876251,0.18173225224018097,0.09404771775007248
50,0,3D,gc15,0.2844597101211548,0.099609375,0.14625534415245056,0.22446374595165253,0.13986283540725708,0.14615406095981598,0.1362704038619995
50,0,LOS,gc15,0.34118232131004333,0.060546875,0.18480904400348663,0.2595357596874237,0.1321173906326294,0.17338493466377258,0.19957879185676575
50,0,LOS+Sun,gc15,0.24766796827316284,0.072265625,0.13522732257843018,0.19075748324394226,0.12952232360839844,0.10960780829191208,0.13404220342636108
50,0,LOS+rho,gc15,0.2711275815963745,0.0546875,0.1415412425994873,0.212031289935112,0.14814551174640656,0.13466781377792358,0.12931084632873535
50,0,LOS+Sun+rho,gc15,0.24153324961662292,0.048828125,0.1339438408613205,0.1824469268321991,0.13810336589813232,0.12080248445272446,0.1093696877360344
100,0,3D,sun4,0.082981176674366,0.0,0.022919844835996628,0.07482541352510452,0.015948528423905373,0.07759654521942139,0.0045110564678907394
100,0,LOS,sun4,0.12182295322418213,0.0,0.046413540840148926,0.10576116293668747,0.06442867964506149,0.09222736954689026,0.018381595611572266
100,0,LOS+Sun,sun4,0.11148139089345932,0.0,0.037820372730493546,0.09975615888834,0.05346522107720375,0.08414294570684433,0.02250542677938938
100,0,LOS+rho,sun4,0.0916079506278038,0.0,0.022430216893553734,0.08437582850456238,0.018127379938960075,0.08637521415948868,0.010102076455950737
100,0,LOS+Sun+rho,sun4,0.09957686066627502,0.0,0.028145834803581238,0.09049735218286514,0.02644936740398407,0.08905842155218124,0.01858021318912506
100,0,3D,sun15,0.41178515553474426,0.173828125,0.2974030673503876,0.23253051936626434,0.2585287392139435,0.2084798663854599,0.11929056793451309
100,0,LOS,sun15,0.40066519379615784,0.169921875,0.2724108099937439,0.24127088487148285,0.2530723810195923,0.2050008624792099,0.10880005359649658
100,0,LOS+Sun,sun15,0.35693010687828064,0.162109375,0.22849306464195251,0.22478564083576202,0.23894885182380676,0.17235256731510162,0.09813433885574341
100,0,LOS+rho,sun15,0.43457192182540894,0.068359375,0.2967427670955658,0.26226669549942017,0.32719510793685913,0.19368577003479004,0.07809703797101974
100,0,LOS+Sun+rho,sun15,0.42756691575050354,0.068359375,0.29348695278167725,0.258212149143219,0.3263297975063324,0.19176499545574188,0.07311009615659714
100,0,3D,gc15,0.29929032921791077,0.064453125,0.17779557406902313,0.21203255653381348,0.1471983641386032,0.16594494879245758,0.1391935646533966
